"","X","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"1",1,"_GuOjXYl5ew","YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind","YouTube Rewind 2016. Celebrating the videos, people, music and moves that made 2016. #YouTubeRewind Spend more time with your favorite creators, ...","2016-12-07 18:00:03","2016-12-07",64800,"none","UCBR8-60-B28hp2BmDPdntcQ","YouTube Spotlight",200076804,3097566,488281,0,677755,25,"en","Notícias e Política",2e+05
"6",6,"0KSOMA3QBU0","Katy Perry - Dark Horse (Official) ft. Juicy J","Get ""Dark Horse"" from Katy Perry's 'PRISM': http://katy.to/PRISM WITNESS: The Tour tickets available now! https://www.katyperry.com/tour Directed by Matthew ...","2014-02-20 20:00:03","2014-02-20",72000,"none","UC-8Q-hLdECwQmaWNwXitYDw","KatyPerryVEVO",2126370507,6255046,820668,0,496615,10,NA,"Música",2126000
"11",11,"QcIy9NiNbmo","Taylor Swift - Bad Blood ft. Kendrick Lamar","Check out Taylor's new video <U+0093>Bad Blood!<U+0094> <U+0093>Bad Blood<U+0094> featuring Kendrick Lamar is Available Now on iTunes http://smarturl.it/tsbadblood. Taylor's multi-platinum ...","2015-05-18 04:00:00","2015-05-18",14400,"none","UCANLZYMidaCbLQFWXBC95Jg","TaylorSwiftVEVO",1129433584,5396888,472258,0,441748,10,NA,"Música",1129000
"16",16,"uelHwf8o7_U","Eminem - Love The Way You Lie ft. Rihanna","Music video by Eminem performing Love The Way You Lie. <U+00A9> 2010 Aftermath Records #VEVOCertified on September 13, 2011. http://www.vevo.com/certified ...","2010-08-05 19:09:46","2010-08-05",68940,"none","UC20vb-R_px4CguHzzBPhoyQ","EminemVEVO",1402046933,5233395,201082,0,487376,10,"en-US","Música",1402000
"21",21,"2uJE48aKVNo","Beef 'n Go","WATCH THIS EPISODE EN ESPA<d1>OL: http://youtu.be/uUN_7ToagOI OUR FACEBOOK: http://facebook.com/smosh Are you the kind of person that just loves ...","2008-05-03 18:20:32","2008-05-03",66000,"none","UCY30JRSgfhYXA6i6xX1erWg","Smosh",102595655,113444,25416,0,24237,43,NA,"Shows",102000
"26",26,"UtsfUAHkyWQ","Ping Pong Trick Shots 2 | Dude Perfect","Ping Pong Trick Shots are back & they're BIGGER than ever! ---------------------------------------- <U+25BB> VISIT our NEW STORE! - http://dudeperfect.merchline.com <U+25BB>Click ...","2015-02-16 23:00:56","2015-02-16",82800,"none","UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect",118319569,1164671,34159,0,58912,17,NA,"Esportes",118000
"31",31,"k3aAl92_VDE","Adam Levine's New Girlfriend","Three-year-old Mila is Adam's biggest (little) fan, and had quite the reaction when she found out he was married!","2015-10-16 13:00:02","2015-10-16",46800,"none","UCp0hYYBW6IMayGgR-WeoCvQ","TheEllenShow",65700389,425190,12215,0,0,24,"en","Entretenimento",65000
"36",36,"xfeys7Jfnx8","Nice Guys","Behind the Scenes at http://www.youtube.com/higatv Two losers take a ""how to pick up girls"" class and realize that Nice Guys finish last which results in the ...","2011-05-31 20:33:21","2011-05-31",73980,"none","UCSAUGyc_xA8uYzaIVG6MESQ","nigahiga",73723135,806832,11082,0,170358,24,NA,"Entretenimento",73000
"41",41,"iOztnsBPrAA","WARNING: SCARIEST GAME IN YEARS | Five Nights at Freddy's - Part 1","No other game has given me a greater feeling of dread than this one. Five Nights at Freddy's is incredibly unique and takes an approach to horror that I've never ...","2014-08-12 18:23:51","2014-08-12",66180,"none","UC7_YxT-KID8kRbqZo7MyscQ","Markiplier",62333999,513124,25095,0,163728,20,NA,"Jogos",62000
"46",46,"SXiSVQZLje8","Ariana Grande - Side To Side ft. Nicki Minaj","Side To Side ft. Nicki Minaj (Official Video) Taken from the new album Dangerous Woman Download Now! http://republicrec.co/AriDangerousWoman Listen on ...","2016-08-30 03:00:00","2016-08-30",10800,"none","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo",1136428990,5623761,379692,0,413051,10,NA,"Música",1136000
"51",51,"dMR51c1Q5bQ","BEST OF - TOP 500 GOALS","Best Soccer Goals 2012/13 <U+25CB> Football Compilation 2014 - Die sch<f6>nsten Amateur-Tore - Besten YouTuber Freist<f6><df>e <U+25BB> Join #teamfk / Komm ins #teamfk: ...","2014-02-06 12:23:52","2014-02-06",44580,"none","UCC9h3H-sGrvqd2otknZntsQ","freekickerz",33378550,145100,6192,0,5178,17,"en","Esportes",33000
"56",56,"ao8L-0nSYzg","Addiction","What causes addiction? Easy, right? Drugs cause addiction. But maybe it is not that simple. This video is adapted from Johann Hari's New York Times ...","2015-10-29 13:05:11","2015-10-29",47100,"none","UCsXVk37bltHxD1rDPwtNM8Q","Kurzgesagt <U+0096> In a Nutshell",14403658,358183,4793,0,20766,27,"en","Educação",14000
"61",61,"ogci09kq_u4","BEST OF DAYLIGHT <U+2605> Die geile Stalking-Spr<fc>hwurst-Omi!","BEST OF DAYLIGHT <U+0095> LP: http://bit.ly/DaylightHorror <U+25BB> SAHNEH<c4>UBCHEN: http://gronkh.de?p=25785 <U+25BB> TOTAL MUTIG: http://bit.ly/BesteMenschen ...","2014-05-06 16:00:08","2014-05-06",57600,"none","UCYJ61XIK64sp6ZFFS8sctxw","Gronkh",9936556,37433,666,0,3334,20,NA,"Jogos",9000
"66",66,"4gSOMba1UdM","Bibi H - How it is ( wap bap ... ) [Official Video]","""How it is (wap bap)"" AVAILABLE EVERYWHERE NOW: http://wmg.click/BibiH_HowItIsAY * STORES Germany: - Amazon - Media Markt - Saturn - M<fc>ller - Expert ...","2017-05-05 12:00:00","2017-05-05",43200,"none","UCHfdTAyg5t4mb1G-3rJ6QsQ","BibisBeautyPalace",46469468,390977,2576777,0,1013027,10,NA,"Música",46000
"71",71,"8sPj0Ic8KQ8","R.I.O. feat. Nicco - Party Shaker (Official Video HD)","Listen on Spotify: http://spoti.fi/1hfDGxs TAKEN FROM: R.I.O. -- TURN THIS CLUB AROUND [LIMITED EDITION] +++ CD & DOWNLOAD: OUT NOW!","2012-05-15 08:05:25","2012-05-15",29100,"none","UCb3tJ5NKw7mDxyaQ73mwbRg","Kontor.TV",216647949,532850,32790,0,46666,10,NA,"Música",216000
"76",76,"SHWAoZe_1yA","Julien Bam - Everyday Saturday (Parodie)","Viel Spa<df> mit meinem 2 Mio Abo - Speci... nein Spa<df>! Alles nur Parodie, nehmt es nicht zu ernst! So etwas ensteht in 4 Tagen, wenn man einfach auf seinen ...","2016-05-07 12:00:02","2016-05-07",43200,"none","UCTXeJ33DzXI2veQpKfrvaYw","Julien Bam",22316261,1058711,81898,0,131825,24,NA,"Entretenimento",22000
"81",81,"YyNLs1-eYK4","ApeCrime - ICH TRAU MICH NICHT","Unser Album: Affenbande CD - Amazon: http://amzn.to/1eJZ9Q8 Affenbande - iTunes: http://apple.co/1Ly5Sd2 BangEP: https://apecrime.lnk.to/Bang Teilt das ...","2013-08-30 12:00:05","2013-08-30",43200,"none","UCw_T-wN5D_NbfwFp4ztQvBA","ApeCrime",14140473,327328,8788,0,33932,24,NA,"Entretenimento",14000
"86",86,"Z_mf9aCHag8","KC Rebell feat. Mo<e9> <U+25BA> BIST DU REAL <U+25C4> [ official Video 4K ] | Dagi Bee","W<fc>rde mich freuen, wenn Ihr mir ein KOSTENLOSES ABO da lasst <U+2661> <U+25B8> THEMA : FANLIEBE : https://youtu.be/RldpvPaKPIM <U+25B8> GANG TOUR VLOG ...","2015-06-12 11:16:14","2015-06-12",40560,"none","UCpZ_DI-ZugwMzXcqccaTVsg","Dagi Bee",49138649,625117,138447,0,64871,24,"de","Entretenimento",49000
